"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 26 02:06:34 GMT 2024","Thu Dec 26 02:07:02 GMT 2024","28361","","MockProject.Tests.GenerateReportTest","","MockProject.Tests.GenerateReportTest","","Second option",""
"passed","Thu Dec 26 02:06:34 GMT 2024","Thu Dec 26 02:07:02 GMT 2024","28425","","MockProject.Tests.ReportDataTest","","MockProject.Tests.ReportDataTest","","TC_DATA_SECTION_01 - Verify that the data table can be enlarged.",""
"passed","Thu Dec 26 02:07:25 GMT 2024","Thu Dec 26 02:07:32 GMT 2024","6715","","MockProject.Tests.GenerateReportTest","","MockProject.Tests.GenerateReportTest","","TC_GENERATE_SECTION_04 - Verify that the system will not generate a report with invalid period.",""
"passed","Thu Dec 26 02:07:32 GMT 2024","Thu Dec 26 02:07:38 GMT 2024","6189","","MockProject.Tests.GenerateReportTest","","MockProject.Tests.GenerateReportTest","","TC_GENERATE_SECTION_05 - Verify that the section containing Generate button can collapse.",""
"passed","Thu Dec 26 02:06:34 GMT 2024","Thu Dec 26 02:07:01 GMT 2024","26677","","MockProject.Tests.AccessToMyLeaveBalanceReportTest","","MockProject.Tests.AccessToMyLeaveBalanceReportTest","","TC_PAGE_01 - Verify that the user can access the Leave Entitlements and Usage Report page.",""
"passed","Thu Dec 26 02:07:12 GMT 2024","Thu Dec 26 02:07:18 GMT 2024","6154","","MockProject.Tests.GenerateReportTest","","MockProject.Tests.GenerateReportTest","","TC_GENERATE_SECTION_02 - Verify thata the system validates the selected leave period.",""
"passed","Thu Dec 26 02:07:18 GMT 2024","Thu Dec 26 02:07:25 GMT 2024","7209","","MockProject.Tests.GenerateReportTest","","MockProject.Tests.GenerateReportTest","","TC_GENERATE_SECTION_03 - Verify thath the system allows report generation.",""
"passed","Thu Dec 26 02:07:38 GMT 2024","Thu Dec 26 02:07:44 GMT 2024","5342","","MockProject.Tests.GenerateReportTest","","MockProject.Tests.GenerateReportTest","","TC_GENERATE_SECTION_06 - Verify that the section containing Generate button can expand.",""
"passed","Thu Dec 26 02:07:02 GMT 2024","Thu Dec 26 02:07:12 GMT 2024","10008","","MockProject.Tests.ReportDataTest","","MockProject.Tests.ReportDataTest","","TC_DATA_SECTION_02 - Verify that the data table can be shrunk.",""
"passed","Thu Dec 26 02:07:02 GMT 2024","Thu Dec 26 02:07:12 GMT 2024","9576","","MockProject.Tests.GenerateReportTest","","MockProject.Tests.GenerateReportTest","","Last option",""
"passed","Thu Dec 26 02:07:19 GMT 2024","Thu Dec 26 02:07:26 GMT 2024","7194","","MockProject.Tests.ReportDataTest","","MockProject.Tests.ReportDataTest","","TC_DATA_SECTION_05 - Verify that the data types in the data table are valid.",""
"passed","Thu Dec 26 02:07:45 GMT 2024","Thu Dec 26 02:07:56 GMT 2024","11389","","MockProject.Tests.ReportDataTest","","MockProject.Tests.ReportDataTest","","TC_DATA_SECTION_07 - Verify that the new value of Leave Type shows in the data table.",""
"failed","Thu Dec 26 02:07:26 GMT 2024","Thu Dec 26 02:07:45 GMT 2024","18978","","MockProject.Tests.ReportDataTest","","MockProject.Tests.ReportDataTest","","TC_DATA_SECTION_06 - Verify that the deleted value of Leave Type does not show in the data table.",""
"passed","Thu Dec 26 02:07:12 GMT 2024","Thu Dec 26 02:07:19 GMT 2024","6337","","MockProject.Tests.ReportDataTest","","MockProject.Tests.ReportDataTest","","TC_DATA_SECTION_04 - Verify that the report counter matches the total number of records generated.",""
