"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Dec 25 09:49:41 GMT 2024","Wed Dec 25 09:49:41 GMT 2024","318","","MockProject.Tests.GenerateReportTest","","MockProject.Tests.GenerateReportTest","","TC_GENERATE_SECTION_02 - Verify thata the system validates the selected leave period.",""
"failed","Wed Dec 25 09:49:40 GMT 2024","Wed Dec 25 09:49:40 GMT 2024","322","","MockProject.Tests.ReportDataTest","","MockProject.Tests.ReportDataTest","","TC_DATA_SECTION_02 - Verify that the data table can be shrunk.",""
"failed","Wed Dec 25 09:49:41 GMT 2024","Wed Dec 25 09:49:41 GMT 2024","325","","MockProject.Tests.GenerateReportTest","","MockProject.Tests.GenerateReportTest","","TC_GENERATE_SECTION_03 - Verify thath the system allows report generation.",""
"failed","Wed Dec 25 09:49:41 GMT 2024","Wed Dec 25 09:49:42 GMT 2024","366","","MockProject.Tests.GenerateReportTest","","MockProject.Tests.GenerateReportTest","","TC_GENERATE_SECTION_04 - Verify that the system will not generate a report with invalid period.",""
"failed","Wed Dec 25 09:49:38 GMT 2024","Wed Dec 25 09:49:40 GMT 2024","2144","","MockProject.Tests.AccessToMyLeaveBalanceReportTest","","MockProject.Tests.AccessToMyLeaveBalanceReportTest","","TC_PAGE_01 - Verify that the user can access the Leave Entitlements and Usage Report page.",""
"failed","Wed Dec 25 09:49:41 GMT 2024","Wed Dec 25 09:49:42 GMT 2024","347","","MockProject.Tests.ReportDataTest","","MockProject.Tests.ReportDataTest","","TC_DATA_SECTION_06 - Verify that the deleted value of Leave Type does not show in the data table.",""
"failed","Wed Dec 25 09:49:42 GMT 2024","Wed Dec 25 09:49:42 GMT 2024","329","","MockProject.Tests.ReportDataTest","","MockProject.Tests.ReportDataTest","","TC_DATA_SECTION_07 - Verify that the new value of Leave Type shows in the data table.",""
"failed","Wed Dec 25 09:49:41 GMT 2024","Wed Dec 25 09:49:41 GMT 2024","370","","MockProject.Tests.ReportDataTest","","MockProject.Tests.ReportDataTest","","TC_DATA_SECTION_05 - Verify that the data types in the data table are valid.",""
"failed","Wed Dec 25 09:49:38 GMT 2024","Wed Dec 25 09:49:40 GMT 2024","2140","","MockProject.Tests.GenerateReportTest","","MockProject.Tests.GenerateReportTest","","Second option",""
"failed","Wed Dec 25 09:49:40 GMT 2024","Wed Dec 25 09:49:41 GMT 2024","415","","MockProject.Tests.GenerateReportTest","","MockProject.Tests.GenerateReportTest","","Last option",""
"failed","Wed Dec 25 09:49:38 GMT 2024","Wed Dec 25 09:49:40 GMT 2024","2138","","MockProject.Tests.ReportDataTest","","MockProject.Tests.ReportDataTest","","TC_DATA_SECTION_01 - Verify that the data table can be enlarged.",""
"failed","Wed Dec 25 09:49:42 GMT 2024","Wed Dec 25 09:49:42 GMT 2024","327","","MockProject.Tests.GenerateReportTest","","MockProject.Tests.GenerateReportTest","","TC_GENERATE_SECTION_05 - Verify that the section containing Generate button can collapse.",""
"failed","Wed Dec 25 09:49:40 GMT 2024","Wed Dec 25 09:49:41 GMT 2024","303","","MockProject.Tests.ReportDataTest","","MockProject.Tests.ReportDataTest","","TC_DATA_SECTION_04 - Verify that the report counter matches the total number of records generated.",""
"failed","Wed Dec 25 09:49:42 GMT 2024","Wed Dec 25 09:49:42 GMT 2024","299","","MockProject.Tests.GenerateReportTest","","MockProject.Tests.GenerateReportTest","","TC_GENERATE_SECTION_06 - Verify that the section containing Generate button can expand.",""
