"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 03 06:25:31 GMT 2025","Fri Jan 03 06:25:37 GMT 2025","5923","","SeleniumTestFramework.Tests.GenerateReportTest","","SeleniumTestFramework.Tests.GenerateReportTest","","TC_GENERATE_SECTION_02 - Verify thata the system validates the selected leave period.",""
"passed","Fri Jan 03 06:26:00 GMT 2025","Fri Jan 03 06:26:06 GMT 2025","6610","","SeleniumTestFramework.Tests.ReportDataTest","","SeleniumTestFramework.Tests.ReportDataTest","","TC_DATA_SECTION_04 - Verify that the report counter matches the total number of records generated.",""
"passed","Fri Jan 03 06:25:37 GMT 2025","Fri Jan 03 06:25:44 GMT 2025","7109","","SeleniumTestFramework.Tests.GenerateReportTest","","SeleniumTestFramework.Tests.GenerateReportTest","","TC_GENERATE_SECTION_03 - Verify thath the system allows report generation.",""
"passed","Fri Jan 03 06:25:29 GMT 2025","Fri Jan 03 06:25:39 GMT 2025","9400","","SeleniumTestFramework.Tests.GenerateReportTest","","SeleniumTestFramework.Tests.GenerateReportTest","","Last option",""
"passed","Fri Jan 03 06:25:51 GMT 2025","Fri Jan 03 06:26:00 GMT 2025","9202","","SeleniumTestFramework.Tests.ReportDataTest","","SeleniumTestFramework.Tests.ReportDataTest","","TC_DATA_SECTION_02 - Verify that the data table can be shrunk.",""
"failed","Fri Jan 03 06:26:06 GMT 2025","Fri Jan 03 06:26:26 GMT 2025","19273","","SeleniumTestFramework.Tests.ReportDataTest","","SeleniumTestFramework.Tests.ReportDataTest","","TC_DATA_SECTION_06 - Verify that the deleted value of Leave Type does not show in the data table.",""
"passed","Fri Jan 03 06:25:39 GMT 2025","Fri Jan 03 06:25:45 GMT 2025","6842","","SeleniumTestFramework.Tests.GenerateReportTest","","SeleniumTestFramework.Tests.GenerateReportTest","","TC_GENERATE_SECTION_04 - Verify that the system will not generate a report with invalid period.",""
"passed","Fri Jan 03 06:26:00 GMT 2025","Fri Jan 03 06:26:08 GMT 2025","7479","","SeleniumTestFramework.Tests.ReportDataTest","","SeleniumTestFramework.Tests.ReportDataTest","","TC_DATA_SECTION_05 - Verify that the data types in the data table are valid.",""
"passed","Fri Jan 03 06:25:51 GMT 2025","Fri Jan 03 06:26:00 GMT 2025","9011","","SeleniumTestFramework.Tests.ReportDataTest","","SeleniumTestFramework.Tests.ReportDataTest","","TC_DATA_SECTION_01 - Verify that the data table can be enlarged.",""
"passed","Fri Jan 03 06:26:08 GMT 2025","Fri Jan 03 06:26:21 GMT 2025","12678","","SeleniumTestFramework.Tests.ReportDataTest","","SeleniumTestFramework.Tests.ReportDataTest","","TC_DATA_SECTION_07 - Verify that the new value of Leave Type shows in the data table.",""
"passed","Fri Jan 03 06:25:10 GMT 2025","Fri Jan 03 06:25:31 GMT 2025","21125","","SeleniumTestFramework.Tests.GenerateReportTest","","SeleniumTestFramework.Tests.GenerateReportTest","","Second option",""
"passed","Fri Jan 03 06:25:44 GMT 2025","Fri Jan 03 06:25:51 GMT 2025","6909","","SeleniumTestFramework.Tests.GenerateReportTest","","SeleniumTestFramework.Tests.GenerateReportTest","","TC_GENERATE_SECTION_05 - Verify that the section containing Generate button can collapse.",""
"passed","Fri Jan 03 06:25:10 GMT 2025","Fri Jan 03 06:25:29 GMT 2025","19514","","SeleniumTestFramework.Tests.AccessToMyLeaveBalanceReportTest","","SeleniumTestFramework.Tests.AccessToMyLeaveBalanceReportTest","","TC_PAGE_01 - Verify that the user can access the Leave Entitlements and Usage Report page.",""
"passed","Fri Jan 03 06:25:45 GMT 2025","Fri Jan 03 06:25:51 GMT 2025","5861","","SeleniumTestFramework.Tests.GenerateReportTest","","SeleniumTestFramework.Tests.GenerateReportTest","","TC_GENERATE_SECTION_06 - Verify that the section containing Generate button can expand.",""
