"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 05 18:42:12 GMT 2025","Sun Jan 05 18:42:19 GMT 2025","7113","","SeleniumTestFramework.Tests.GenerateReportTest","","SeleniumTestFramework.Tests.GenerateReportTest","","TC_GENERATE_SECTION_03 - Verify thath the system allows report generation.",""
"passed","Sun Jan 05 18:42:35 GMT 2025","Sun Jan 05 18:42:43 GMT 2025","7301","","SeleniumTestFramework.Tests.ReportDataTest","","SeleniumTestFramework.Tests.ReportDataTest","","TC_DATA_SECTION_05 - Verify that the data types in the data table are valid.",""
"passed","Sun Jan 05 18:42:26 GMT 2025","Sun Jan 05 18:42:35 GMT 2025","9005","","SeleniumTestFramework.Tests.ReportDataTest","","SeleniumTestFramework.Tests.ReportDataTest","","TC_DATA_SECTION_01 - Verify that the data table can be enlarged.",""
"passed","Sun Jan 05 18:42:13 GMT 2025","Sun Jan 05 18:42:20 GMT 2025","6727","","SeleniumTestFramework.Tests.GenerateReportTest","","SeleniumTestFramework.Tests.GenerateReportTest","","TC_GENERATE_SECTION_04 - Verify that the system will not generate a report with invalid period.",""
"failed","Sun Jan 05 18:42:41 GMT 2025","Sun Jan 05 18:43:00 GMT 2025","18694","","SeleniumTestFramework.Tests.ReportDataTest","","SeleniumTestFramework.Tests.ReportDataTest","","TC_DATA_SECTION_06 - Verify that the deleted value of Leave Type does not show in the data table.",""
"passed","Sun Jan 05 18:42:35 GMT 2025","Sun Jan 05 18:42:41 GMT 2025","6259","","SeleniumTestFramework.Tests.ReportDataTest","","SeleniumTestFramework.Tests.ReportDataTest","","TC_DATA_SECTION_04 - Verify that the report counter matches the total number of records generated.",""
"passed","Sun Jan 05 18:41:41 GMT 2025","Sun Jan 05 18:42:06 GMT 2025","25042","","SeleniumTestFramework.Tests.GenerateReportTest","","SeleniumTestFramework.Tests.GenerateReportTest","","Second option",""
"passed","Sun Jan 05 18:42:20 GMT 2025","Sun Jan 05 18:42:26 GMT 2025","5975","","SeleniumTestFramework.Tests.GenerateReportTest","","SeleniumTestFramework.Tests.GenerateReportTest","","TC_GENERATE_SECTION_06 - Verify that the section containing Generate button can expand.",""
"passed","Sun Jan 05 18:42:19 GMT 2025","Sun Jan 05 18:42:26 GMT 2025","6725","","SeleniumTestFramework.Tests.GenerateReportTest","","SeleniumTestFramework.Tests.GenerateReportTest","","TC_GENERATE_SECTION_05 - Verify that the section containing Generate button can collapse.",""
"passed","Sun Jan 05 18:42:06 GMT 2025","Sun Jan 05 18:42:12 GMT 2025","5931","","SeleniumTestFramework.Tests.GenerateReportTest","","SeleniumTestFramework.Tests.GenerateReportTest","","TC_GENERATE_SECTION_02 - Verify thata the system validates the selected leave period.",""
"passed","Sun Jan 05 18:42:04 GMT 2025","Sun Jan 05 18:42:13 GMT 2025","9354","","SeleniumTestFramework.Tests.GenerateReportTest","","SeleniumTestFramework.Tests.GenerateReportTest","","Last option",""
"passed","Sun Jan 05 18:42:26 GMT 2025","Sun Jan 05 18:42:35 GMT 2025","9179","","SeleniumTestFramework.Tests.ReportDataTest","","SeleniumTestFramework.Tests.ReportDataTest","","TC_DATA_SECTION_02 - Verify that the data table can be shrunk.",""
"passed","Sun Jan 05 18:41:41 GMT 2025","Sun Jan 05 18:42:04 GMT 2025","23247","","SeleniumTestFramework.Tests.AccessToMyLeaveBalanceReportTest","","SeleniumTestFramework.Tests.AccessToMyLeaveBalanceReportTest","","TC_PAGE_01 - Verify that the user can access the Leave Entitlements and Usage Report page.",""
"passed","Sun Jan 05 18:42:43 GMT 2025","Sun Jan 05 18:42:55 GMT 2025","12153","","SeleniumTestFramework.Tests.ReportDataTest","","SeleniumTestFramework.Tests.ReportDataTest","","TC_DATA_SECTION_07 - Verify that the new value of Leave Type shows in the data table.",""
