"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 26 02:10:02 GMT 2024","Thu Dec 26 02:10:10 GMT 2024","7521","","MockProject.Tests.GenerateReportTest","","MockProject.Tests.GenerateReportTest","","TC_GENERATE_SECTION_04 - Verify that the system will not generate a report with invalid period.",""
"passed","Thu Dec 26 02:09:54 GMT 2024","Thu Dec 26 02:10:02 GMT 2024","8199","","MockProject.Tests.GenerateReportTest","","MockProject.Tests.GenerateReportTest","","TC_GENERATE_SECTION_03 - Verify thath the system allows report generation.",""
"passed","Thu Dec 26 02:09:47 GMT 2024","Thu Dec 26 02:09:54 GMT 2024","6880","","MockProject.Tests.GenerateReportTest","","MockProject.Tests.GenerateReportTest","","TC_GENERATE_SECTION_02 - Verify thata the system validates the selected leave period.",""
"passed","Thu Dec 26 02:09:37 GMT 2024","Thu Dec 26 02:09:47 GMT 2024","10272","","MockProject.Tests.GenerateReportTest","","MockProject.Tests.GenerateReportTest","","Last option",""
"passed","Thu Dec 26 02:10:10 GMT 2024","Thu Dec 26 02:10:17 GMT 2024","7254","","MockProject.Tests.GenerateReportTest","","MockProject.Tests.GenerateReportTest","","TC_GENERATE_SECTION_05 - Verify that the section containing Generate button can collapse.",""
"passed","Thu Dec 26 02:09:48 GMT 2024","Thu Dec 26 02:09:55 GMT 2024","7324","","MockProject.Tests.ReportDataTest","","MockProject.Tests.ReportDataTest","","TC_DATA_SECTION_04 - Verify that the report counter matches the total number of records generated.",""
"passed","Thu Dec 26 02:09:16 GMT 2024","Thu Dec 26 02:09:35 GMT 2024","19121","","MockProject.Tests.AccessToMyLeaveBalanceReportTest","","MockProject.Tests.AccessToMyLeaveBalanceReportTest","","TC_PAGE_01 - Verify that the user can access the Leave Entitlements and Usage Report page.",""
"passed","Thu Dec 26 02:10:17 GMT 2024","Thu Dec 26 02:10:23 GMT 2024","6258","","MockProject.Tests.GenerateReportTest","","MockProject.Tests.GenerateReportTest","","TC_GENERATE_SECTION_06 - Verify that the section containing Generate button can expand.",""
"failed","Thu Dec 26 02:10:03 GMT 2024","Thu Dec 26 02:10:24 GMT 2024","20404","","MockProject.Tests.ReportDataTest","","MockProject.Tests.ReportDataTest","","TC_DATA_SECTION_06 - Verify that the deleted value of Leave Type does not show in the data table.",""
"passed","Thu Dec 26 02:10:24 GMT 2024","Thu Dec 26 02:10:37 GMT 2024","13074","","MockProject.Tests.ReportDataTest","","MockProject.Tests.ReportDataTest","","TC_DATA_SECTION_07 - Verify that the new value of Leave Type shows in the data table.",""
"passed","Thu Dec 26 02:09:16 GMT 2024","Thu Dec 26 02:09:37 GMT 2024","20780","","MockProject.Tests.GenerateReportTest","","MockProject.Tests.GenerateReportTest","","Second option",""
"passed","Thu Dec 26 02:09:37 GMT 2024","Thu Dec 26 02:09:48 GMT 2024","10589","","MockProject.Tests.ReportDataTest","","MockProject.Tests.ReportDataTest","","TC_DATA_SECTION_02 - Verify that the data table can be shrunk.",""
"passed","Thu Dec 26 02:09:55 GMT 2024","Thu Dec 26 02:10:03 GMT 2024","8221","","MockProject.Tests.ReportDataTest","","MockProject.Tests.ReportDataTest","","TC_DATA_SECTION_05 - Verify that the data types in the data table are valid.",""
"passed","Thu Dec 26 02:09:16 GMT 2024","Thu Dec 26 02:09:37 GMT 2024","21011","","MockProject.Tests.ReportDataTest","","MockProject.Tests.ReportDataTest","","TC_DATA_SECTION_01 - Verify that the data table can be enlarged.",""
