"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 25 09:58:50 GMT 2024","Wed Dec 25 09:59:00 GMT 2024","10127","","MockProject.Tests.ReportDataTest","","MockProject.Tests.ReportDataTest","","TC_DATA_SECTION_02 - Verify that the data table can be shrunk.",""
"passed","Wed Dec 25 09:59:00 GMT 2024","Wed Dec 25 09:59:07 GMT 2024","6289","","MockProject.Tests.GenerateReportTest","","MockProject.Tests.GenerateReportTest","","TC_GENERATE_SECTION_02 - Verify thata the system validates the selected leave period.",""
"passed","Wed Dec 25 09:59:27 GMT 2024","Wed Dec 25 09:59:33 GMT 2024","5204","","MockProject.Tests.GenerateReportTest","","MockProject.Tests.GenerateReportTest","","TC_GENERATE_SECTION_06 - Verify that the section containing Generate button can expand.",""
"passed","Wed Dec 25 09:59:33 GMT 2024","Wed Dec 25 09:59:44 GMT 2024","11352","","MockProject.Tests.ReportDataTest","","MockProject.Tests.ReportDataTest","","TC_DATA_SECTION_07 - Verify that the new value of Leave Type shows in the data table.",""
"passed","Wed Dec 25 09:59:06 GMT 2024","Wed Dec 25 09:59:14 GMT 2024","7293","","MockProject.Tests.ReportDataTest","","MockProject.Tests.ReportDataTest","","TC_DATA_SECTION_05 - Verify that the data types in the data table are valid.",""
"passed","Wed Dec 25 09:58:28 GMT 2024","Wed Dec 25 09:58:48 GMT 2024","20213","","MockProject.Tests.AccessToMyLeaveBalanceReportTest","","MockProject.Tests.AccessToMyLeaveBalanceReportTest","","TC_PAGE_01 - Verify that the user can access the Leave Entitlements and Usage Report page.",""
"failed","Wed Dec 25 09:59:00 GMT 2024","Wed Dec 25 09:59:06 GMT 2024","6632","","MockProject.Tests.ReportDataTest","","MockProject.Tests.ReportDataTest","","TC_DATA_SECTION_04 - Verify that the report counter matches the total number of records generated.",""
"passed","Wed Dec 25 09:58:28 GMT 2024","Wed Dec 25 09:58:50 GMT 2024","21533","","MockProject.Tests.ReportDataTest","","MockProject.Tests.ReportDataTest","","TC_DATA_SECTION_01 - Verify that the data table can be enlarged.",""
"failed","Wed Dec 25 09:59:14 GMT 2024","Wed Dec 25 09:59:33 GMT 2024","19056","","MockProject.Tests.ReportDataTest","","MockProject.Tests.ReportDataTest","","TC_DATA_SECTION_06 - Verify that the deleted value of Leave Type does not show in the data table.",""
"passed","Wed Dec 25 09:59:14 GMT 2024","Wed Dec 25 09:59:21 GMT 2024","6800","","MockProject.Tests.GenerateReportTest","","MockProject.Tests.GenerateReportTest","","TC_GENERATE_SECTION_04 - Verify that the system will not generate a report with invalid period.",""
"passed","Wed Dec 25 09:59:21 GMT 2024","Wed Dec 25 09:59:27 GMT 2024","6365","","MockProject.Tests.GenerateReportTest","","MockProject.Tests.GenerateReportTest","","TC_GENERATE_SECTION_05 - Verify that the section containing Generate button can collapse.",""
"passed","Wed Dec 25 09:58:50 GMT 2024","Wed Dec 25 09:59:00 GMT 2024","10629","","MockProject.Tests.GenerateReportTest","","MockProject.Tests.GenerateReportTest","","Last option",""
"passed","Wed Dec 25 09:59:07 GMT 2024","Wed Dec 25 09:59:14 GMT 2024","7628","","MockProject.Tests.GenerateReportTest","","MockProject.Tests.GenerateReportTest","","TC_GENERATE_SECTION_03 - Verify thath the system allows report generation.",""
"passed","Wed Dec 25 09:58:28 GMT 2024","Wed Dec 25 09:58:50 GMT 2024","21630","","MockProject.Tests.GenerateReportTest","","MockProject.Tests.GenerateReportTest","","Second option",""
