"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 02 07:58:19 GMT 2025","Thu Jan 02 07:58:28 GMT 2025","8791","","MockProject.Tests.GenerateReportTest","","MockProject.Tests.GenerateReportTest","","TC_GENERATE_SECTION_03 - Verify thath the system allows report generation.",""
"passed","Thu Jan 02 07:58:38 GMT 2025","Thu Jan 02 07:58:46 GMT 2025","8107","","MockProject.Tests.ReportDataTest","","MockProject.Tests.ReportDataTest","","TC_DATA_SECTION_05 - Verify that the data types in the data table are valid.",""
"passed","Thu Jan 02 07:58:19 GMT 2025","Thu Jan 02 07:58:27 GMT 2025","8563","","MockProject.Tests.GenerateReportTest","","MockProject.Tests.GenerateReportTest","","TC_GENERATE_SECTION_04 - Verify that the system will not generate a report with invalid period.",""
"failed","Thu Jan 02 07:58:41 GMT 2025","Thu Jan 02 07:59:03 GMT 2025","21170","","MockProject.Tests.ReportDataTest","","MockProject.Tests.ReportDataTest","","TC_DATA_SECTION_06 - Verify that the deleted value of Leave Type does not show in the data table.",""
"passed","Thu Jan 02 07:58:27 GMT 2025","Thu Jan 02 07:58:35 GMT 2025","7189","","MockProject.Tests.GenerateReportTest","","MockProject.Tests.GenerateReportTest","","TC_GENERATE_SECTION_06 - Verify that the section containing Generate button can expand.",""
"passed","Thu Jan 02 07:58:35 GMT 2025","Thu Jan 02 07:58:42 GMT 2025","6856","","MockProject.Tests.ReportDataTest","","MockProject.Tests.ReportDataTest","","TC_DATA_SECTION_04 - Verify that the report counter matches the total number of records generated.",""
"passed","Thu Jan 02 07:58:32 GMT 2025","Thu Jan 02 07:58:41 GMT 2025","9683","","MockProject.Tests.ReportDataTest","","MockProject.Tests.ReportDataTest","","TC_DATA_SECTION_02 - Verify that the data table can be shrunk.",""
"passed","Thu Jan 02 07:57:51 GMT 2025","Thu Jan 02 07:58:17 GMT 2025","25775","","MockProject.Tests.AccessToMyLeaveBalanceReportTest","","MockProject.Tests.AccessToMyLeaveBalanceReportTest","","TC_PAGE_01 - Verify that the user can access the Leave Entitlements and Usage Report page.",""
"passed","Thu Jan 02 07:58:42 GMT 2025","Thu Jan 02 07:58:57 GMT 2025","15315","","MockProject.Tests.ReportDataTest","","MockProject.Tests.ReportDataTest","","TC_DATA_SECTION_07 - Verify that the new value of Leave Type shows in the data table.",""
"passed","Thu Jan 02 07:58:24 GMT 2025","Thu Jan 02 07:58:32 GMT 2025","7822","","MockProject.Tests.GenerateReportTest","","MockProject.Tests.GenerateReportTest","","TC_GENERATE_SECTION_05 - Verify that the section containing Generate button can collapse.",""
"passed","Thu Jan 02 07:57:51 GMT 2025","Thu Jan 02 07:58:19 GMT 2025","27961","","MockProject.Tests.GenerateReportTest","","MockProject.Tests.GenerateReportTest","","Second option",""
"passed","Thu Jan 02 07:57:51 GMT 2025","Thu Jan 02 07:58:19 GMT 2025","28044","","MockProject.Tests.GenerateReportTest","","MockProject.Tests.GenerateReportTest","","Last option",""
"passed","Thu Jan 02 07:58:28 GMT 2025","Thu Jan 02 07:58:38 GMT 2025","10287","","MockProject.Tests.ReportDataTest","","MockProject.Tests.ReportDataTest","","TC_DATA_SECTION_01 - Verify that the data table can be enlarged.",""
"passed","Thu Jan 02 07:58:17 GMT 2025","Thu Jan 02 07:58:24 GMT 2025","7223","","MockProject.Tests.GenerateReportTest","","MockProject.Tests.GenerateReportTest","","TC_GENERATE_SECTION_02 - Verify thata the system validates the selected leave period.",""
