"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9798","Last option","","Wed Dec 25 04:04:14 GMT 2024","passed","Wed Dec 25 04:04:24 GMT 2024","","MockProject.Tests.GenerateReportTest","MockProject.Tests.GenerateReportTest",""
"","6488","TC_GENERATE_SECTION_02 - Verify thata the system validates the selected leave period.","","Wed Dec 25 04:04:24 GMT 2024","passed","Wed Dec 25 04:04:31 GMT 2024","","MockProject.Tests.GenerateReportTest","MockProject.Tests.GenerateReportTest",""
"","6561","TC_GENERATE_SECTION_05 - Verify that the section containing Generate button can collapse.","","Wed Dec 25 04:04:45 GMT 2024","passed","Wed Dec 25 04:04:52 GMT 2024","","MockProject.Tests.GenerateReportTest","MockProject.Tests.GenerateReportTest",""
"","6886","TC_GENERATE_SECTION_04 - Verify that the system will not generate a report with invalid period.","","Wed Dec 25 04:04:38 GMT 2024","passed","Wed Dec 25 04:04:45 GMT 2024","","MockProject.Tests.GenerateReportTest","MockProject.Tests.GenerateReportTest",""
"","6475","TC_DATA_SECTION_04 - Verify that the report counter matches the total number of records generated.","","Wed Dec 25 04:04:24 GMT 2024","passed","Wed Dec 25 04:04:30 GMT 2024","","MockProject.Tests.ReportDataTest","MockProject.Tests.ReportDataTest",""
"","12117","TC_PAGE_01 - Verify that the user can access the Leave Entitlements and Usage Report page.","","Wed Dec 25 04:04:01 GMT 2024","passed","Wed Dec 25 04:04:13 GMT 2024","","MockProject.Tests.AccessToMyLeaveBalanceReportTest","MockProject.Tests.AccessToMyLeaveBalanceReportTest",""
"","7402","TC_DATA_SECTION_05 - Verify that the data types in the data table are valid.","","Wed Dec 25 04:04:30 GMT 2024","passed","Wed Dec 25 04:04:38 GMT 2024","","MockProject.Tests.ReportDataTest","MockProject.Tests.ReportDataTest",""
"","7746","TC_GENERATE_SECTION_03 - Verify thath the system allows report generation.","","Wed Dec 25 04:04:31 GMT 2024","passed","Wed Dec 25 04:04:38 GMT 2024","","MockProject.Tests.GenerateReportTest","MockProject.Tests.GenerateReportTest",""
"","19386","TC_DATA_SECTION_06 - Verify that the deleted value of Leave Type does not show in the data table.","","Wed Dec 25 04:04:38 GMT 2024","failed","Wed Dec 25 04:04:57 GMT 2024","","MockProject.Tests.ReportDataTest","MockProject.Tests.ReportDataTest",""
"","9587","TC_DATA_SECTION_02 - Verify that the data table can be shrunk.","","Wed Dec 25 04:04:14 GMT 2024","passed","Wed Dec 25 04:04:24 GMT 2024","","MockProject.Tests.ReportDataTest","MockProject.Tests.ReportDataTest",""
"","5718","TC_GENERATE_SECTION_06 - Verify that the section containing Generate button can expand.","","Wed Dec 25 04:04:52 GMT 2024","passed","Wed Dec 25 04:04:58 GMT 2024","","MockProject.Tests.GenerateReportTest","MockProject.Tests.GenerateReportTest",""
"","11810","TC_DATA_SECTION_07 - Verify that the new value of Leave Type shows in the data table.","","Wed Dec 25 04:04:57 GMT 2024","passed","Wed Dec 25 04:05:09 GMT 2024","","MockProject.Tests.ReportDataTest","MockProject.Tests.ReportDataTest",""
"","13547","Second option","","Wed Dec 25 04:04:01 GMT 2024","passed","Wed Dec 25 04:04:14 GMT 2024","","MockProject.Tests.GenerateReportTest","MockProject.Tests.GenerateReportTest",""
"","13509","TC_DATA_SECTION_01 - Verify that the data table can be enlarged.","","Wed Dec 25 04:04:01 GMT 2024","passed","Wed Dec 25 04:04:14 GMT 2024","","MockProject.Tests.ReportDataTest","MockProject.Tests.ReportDataTest",""
